Origin,Destination,Data,Oi,Dj,Dij,Offset,beta,OrigAT11,OrigAT12,OrigAT13,OrigAT21,OrigAT22,OrigAT31,OrigAT32,OrigAT33,OrigAT34,DestAT11,DestAT12,DestAT13,DestAT21,DestAT22,DestAT31,DestAT32,DestAT33,DestAT34,Oi2007,Dj2007
AT11,AT11,0,4016,5146,9.999999999999994e-301,9.999999999999994e-301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4320,5452
AT11,AT12,1131,4016,25741,103.00184499999999,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4320,27169
AT11,AT13,1887,4016,26980,84.204666,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4320,28710
AT11,AT21,69,4016,4117,220.811933,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4320,4354
AT11,AT22,738,4016,8634,132.00748000000002,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4320,9069
AT11,AT31,98,4016,8193,214.51181400000002,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4320,8577
AT11,AT32,31,4016,4902,246.933305,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4320,4963
AT11,AT33,43,4016,3952,390.85611,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4320,3923
AT11,AT34,19,4016,1910,505.08953899999995,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4320,2026
AT12,AT11,1633,20080,5146,103.00184499999999,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21478,5452
AT12,AT12,0,20080,25741,9.999999999999994e-301,9.999999999999994e-301,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21478,27169
AT12,AT13,14055,20080,26980,45.796271999999995,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21478,28710
AT12,AT21,416,20080,4117,216.994739,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21478,4354
AT12,AT22,1276,20080,8634,129.878172,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21478,9069
AT12,AT31,1850,20080,8193,140.706671,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21478,8577
AT12,AT32,388,20080,4902,201.232355,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21478,4963
AT12,AT33,303,20080,3952,343.50075,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21478,3923
AT12,AT34,159,20080,1910,453.515594,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21478,2026
AT13,AT11,2301,29142,5146,84.204666,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30500,5452
AT13,AT12,20164,29142,25741,45.796271999999995,1.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30500,27169
AT13,AT13,0,29142,26980,9.999999999999994e-301,9.999999999999994e-301,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30500,28710
AT13,AT21,1080,29142,4117,249.93287400000003,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30500,4354
AT13,AT22,1831,29142,8634,158.630661,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30500,9069
AT13,AT31,1943,29142,8193,186.420738,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30500,8577
AT13,AT32,742,29142,4902,244.10830499999997,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30500,4963
AT13,AT33,674,29142,3952,387.61776000000003,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30500,3923
AT13,AT34,407,29142,1910,498.40715199999994,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30500,2026
AT21,AT11,85,4897,5146,220.811933,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5012,5452
AT21,AT12,379,4897,25741,216.994739,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5012,27169
AT21,AT13,1597,4897,26980,249.93287400000003,1.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5012,28710
